,,Burst Start,Burst End,Burst Duration,Edge Event,Interburst Interval,Total Cycle Time,Peaks per Burst,Peak Amp,Peak Time,Attack,Decay,Intraburst Frequency
Mean1,68.11325,68.11325,68.1415,0.028249999999999886,False,0.14675000000001148,0.17500000000001137,1,0.46479406516940863,68.127,0.013750000000001705,0.014499999999998181,35.398230088495716
Mean1,68.28825,68.28825,68.319,0.030749999999997613,False,0.14700000000000557,0.17775000000000318,1,0.4795698900950043,68.30375000000001,0.015500000000002956,0.015249999999994657,32.52032520325456
Mean1,68.46600000000001,68.46600000000001,68.49475,0.028749999999988063,False,0.15149999999999864,0.1802499999999867,1,0.4566853617970468,68.48025,0.014249999999989882,0.014499999999998181,34.78260869566662
Mean1,68.64625,68.64625,68.6745,0.028249999999999886,False,0.14675000000001148,0.17500000000001137,1,0.45228243795964185,68.66,0.013750000000001705,0.014499999999998181,35.398230088495716
Mean1,68.82125,68.82125,68.852,0.030749999999997613,False,0.14749999999999375,0.17824999999999136,1,0.4770184839275957,68.83675,0.015499999999988745,0.015250000000008868,32.52032520325456
Mean1,68.9995,68.9995,69.02775,0.028249999999999886,False,0.15149999999999864,0.17974999999999852,1,0.45630019147167206,69.01350000000001,0.014000000000010004,0.014249999999989882,35.398230088495716
Mean1,69.17925,69.17925,69.20775,0.028500000000008185,False,0.14699999999999136,0.17549999999999955,1,0.46225587427274356,69.19325,0.014000000000010004,0.014499999999998181,35.087719298235534
Mean1,69.35475,69.35475,69.3855,0.030749999999997613,False,0.14724999999999966,0.17799999999999727,1,0.4881337903294465,69.37025,0.015500000000002956,0.015249999999994657,32.52032520325456
Mean1,69.53275,69.53275,69.56125,0.028500000000008185,False,0.15175000000000693,0.18025000000001512,1,0.45581867317924085,69.547,0.014250000000004093,0.014250000000004093,35.087719298235534
Mean1,69.71300000000001,69.71300000000001,69.74125,0.028249999999985675,False,0.14750000000000796,0.17574999999999363,1,0.45270945393967,69.72675,0.013749999999987494,0.014499999999998181,35.39823008851352
Mean1,69.88875,69.88875,69.91925,0.030500000000003524,False,0.14699999999999136,0.17749999999999488,1,0.47811626989112677,69.90425,0.015500000000002956,0.015000000000000568,32.78688524589785
Mean1,70.06625,70.06625,70.09525,0.028999999999996362,False,0.15150000000001285,0.1805000000000092,1,0.4594467554867719,70.0805,0.014250000000004093,0.01474999999999227,34.48275862069398
Mean1,70.24675,70.24675,70.27475,0.027999999999991587,False,0.14825000000000443,0.17624999999999602,1,0.44725637967202825,70.26050000000001,0.013750000000001705,0.014249999999989882,35.714285714296444
Mean1,70.423,70.423,70.45375,0.030749999999997613,False,0.14624999999999488,0.1769999999999925,1,0.49689122508832745,70.43875,0.015749999999997044,0.015000000000000568,32.52032520325456
Mean1,70.6,70.6,70.62925,0.02925000000000466,False,0.15175000000000693,0.1810000000000116,1,0.46274154898447767,70.61425,0.014250000000004093,0.015000000000000568,34.18803418802874
Mean1,70.781,70.781,70.8085,0.0274999999999892,False,0.1490000000000009,0.1764999999999901,1,0.4498502863679268,70.7945,0.013499999999993406,0.013999999999995794,36.36363636365064
Mean1,70.9575,70.9575,70.98775,0.030250000000009436,False,0.14649999999998897,0.1767499999999984,1,0.481508860163643,70.973,0.015500000000002956,0.01475000000000648,33.05785123965911
Mean1,71.13425,71.13425,71.16425,0.030000000000001137,False,0.15050000000000807,0.1805000000000092,1,0.4684363866863658,71.1485,0.014250000000004093,0.015749999999997044,33.33333333333207
Mean1,71.31475,71.31475,71.3425,0.0277499999999975,False,0.15024999999999977,0.17799999999999727,1,0.4503059693056005,71.32875,0.013999999999995794,0.013750000000001705,36.036036036039285
Mean1,71.49275,71.49275,71.52275,0.030000000000001137,False,0.14624999999999488,0.17624999999999602,1,0.48777263943745164,71.50775,0.015000000000000568,0.015000000000000568,33.33333333333207
